epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.546,1.05605,1.68637,1.42261,0.448,0.3646,0.35816,0.22979,1.25562,1.78861,1.75397,0.000416,0.000416,0.000416
2,445.693,1.14081,1.48212,1.48913,0.78742,0.2814,0.33342,0.21968,1.3262,1.76836,1.85025,0.00081618,0.00081618,0.00081618
3,661.448,1.12374,1.45957,1.4809,0.75747,0.33532,0.38969,0.25895,1.1638,1.43361,1.71908,0.00119986,0.00119986,0.00119986
4,876.341,1.07451,1.35096,1.4349,0.80447,0.29315,0.35705,0.25125,1.13664,1.59222,1.62686,0.00117575,0.00117575,0.00117575
5,1091.08,1.02394,1.26304,1.39939,0.81413,0.38914,0.46967,0.3499,0.93411,1.10065,1.42262,0.001151,0.001151,0.001151
6,1305.95,0.98918,1.18965,1.37017,0.86044,0.3811,0.45036,0.34276,0.9105,1.0609,1.38941,0.00112625,0.00112625,0.00112625
7,1520.74,0.96191,1.13339,1.35069,0.64171,0.49191,0.53039,0.3906,0.8654,0.94742,1.33864,0.0011015,0.0011015,0.0011015
8,1735.28,0.93687,1.09229,1.33443,0.90411,0.41046,0.50748,0.39178,0.84336,0.91904,1.30122,0.00107675,0.00107675,0.00107675
9,1950.03,0.90874,1.03527,1.31304,0.77944,0.45071,0.51925,0.3918,0.85379,0.95576,1.32417,0.001052,0.001052,0.001052
10,2164.7,0.89973,1.02068,1.30655,0.70699,0.4718,0.52718,0.40083,0.79526,0.90563,1.27829,0.00102725,0.00102725,0.00102725
11,2379.34,0.8908,0.99845,1.29363,0.76053,0.45056,0.52618,0.40074,0.81069,0.90114,1.27439,0.0010025,0.0010025,0.0010025
12,2593.92,0.87043,0.9646,1.28013,0.77134,0.50175,0.56805,0.43204,0.76127,0.79129,1.23367,0.00097775,0.00097775,0.00097775
13,2808.28,0.85074,0.92622,1.26813,0.7026,0.48449,0.55299,0.42646,0.78418,0.80908,1.26439,0.000953,0.000953,0.000953
14,3022.61,0.84515,0.90539,1.26029,0.77334,0.4877,0.56022,0.43559,0.74356,0.76918,1.21196,0.00092825,0.00092825,0.00092825
15,3236.85,0.84451,0.90293,1.2584,0.77042,0.49418,0.57559,0.4433,0.74799,0.76557,1.21334,0.0009035,0.0009035,0.0009035
16,3451.13,0.84059,0.89474,1.25445,0.69318,0.51139,0.57083,0.44381,0.73491,0.7479,1.20978,0.00087875,0.00087875,0.00087875
17,3665.14,0.81474,0.85887,1.24187,0.64145,0.56257,0.60222,0.45803,0.73259,0.71284,1.20071,0.000854,0.000854,0.000854
18,3879.71,0.80618,0.83788,1.22994,0.73254,0.55192,0.59915,0.45709,0.72829,0.7062,1.19001,0.00082925,0.00082925,0.00082925
19,4094,0.7979,0.82547,1.22751,0.69692,0.52939,0.57692,0.44096,0.73168,0.76425,1.19647,0.0008045,0.0008045,0.0008045
