epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.067,1.38465,2.18159,1.66174,0.76712,0.26199,0.26037,0.11448,1.95336,5.08482,2.2417,0.000475635,0.000475635,0.000475635
2,407.703,1.42817,1.7862,1.70344,0.7681,0.26175,0.28654,0.13249,2.00727,2.91807,2.30738,0.000933119,0.000933119,0.000933119
3,587.162,1.43326,1.72749,1.71194,0.73073,0.25049,0.26044,0.12383,2.0752,2.9455,2.47635,0.00137174,0.00137174,0.00137174
4,763.226,1.38581,1.65626,1.67158,0.79827,0.32487,0.35635,0.19374,1.72939,2.91386,2.00951,0.00134412,0.00134412,0.00134412
5,939.36,1.33316,1.55998,1.62547,0.52015,0.32826,0.36667,0.20343,1.72958,5.28288,1.97226,0.00131582,0.00131582,0.00131582
6,1113.89,1.29229,1.4767,1.59397,0.51736,0.3469,0.3953,0.22183,1.70031,3.0675,1.91848,0.00128753,0.00128753,0.00128753
7,1287.88,1.26485,1.41521,1.5671,0.84071,0.3645,0.42045,0.24458,1.60059,3.01914,1.81841,0.00125923,0.00125923,0.00125923
8,1464.97,1.2377,1.3713,1.54902,0.86582,0.36943,0.43576,0.26968,1.50517,2.96081,1.76507,0.00123094,0.00123094,0.00123094
9,1641.26,1.20772,1.32924,1.52928,0.86645,0.37994,0.42757,0.26437,1.50446,3.40477,1.74359,0.00120265,0.00120265,0.00120265
10,1816.08,1.1869,1.28491,1.51307,0.89709,0.38319,0.44387,0.27811,1.48778,2.84993,1.74951,0.00117435,0.00117435,0.00117435
11,1992.21,1.18557,1.257,1.50279,0.88574,0.40501,0.45154,0.28327,1.46403,2.64503,1.70569,0.00114606,0.00114606,0.00114606
12,2171.11,1.16225,1.23966,1.48906,0.87942,0.39133,0.44387,0.27201,1.48084,3.28966,1.73291,0.00111776,0.00111776,0.00111776
13,2346.39,1.14626,1.19452,1.47848,0.8526,0.40353,0.45377,0.28436,1.40479,3.3552,1.65954,0.00108947,0.00108947,0.00108947
14,2521.7,1.1326,1.18983,1.47157,0.89435,0.40429,0.46927,0.29512,1.40698,3.37561,1.67553,0.00106118,0.00106118,0.00106118
15,2696.43,1.12638,1.16596,1.46232,0.89592,0.40678,0.46423,0.29837,1.40616,3.17185,1.68337,0.00103288,0.00103288,0.00103288
