epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.465,2.52713,3.26904,2.55848,0.64474,0.2044,0.17575,0.08316,2.23497,5.90373,2.39503,0.00332858,0.00332858,0.00332858
2,538.282,1.62442,2.10149,1.87602,0.78789,0.2883,0.31927,0.17987,1.84073,3.54509,2.00461,0.00659597,0.00659597,0.00659597
3,803.003,1.44321,1.79337,1.7184,0.80597,0.31379,0.34268,0.19021,1.79159,3.52331,1.95909,0.00979735,0.00979735,0.00979735
4,1057.33,1.38236,1.66681,1.66108,0.73274,0.34253,0.39337,0.22174,1.76915,3.36352,1.91382,0.009703,0.009703,0.009703
5,1313.7,1.32092,1.55569,1.60667,0.63834,0.38299,0.41423,0.23804,1.70411,2.76115,1.88045,0.009604,0.009604,0.009604
6,1599.07,1.28573,1.47179,1.57911,0.78241,0.3774,0.43813,0.26429,1.64007,3.36756,1.80567,0.009505,0.009505,0.009505
7,1917.92,1.25596,1.42596,1.55253,0.63681,0.40791,0.4512,0.28176,1.57001,2.3309,1.73739,0.009406,0.009406,0.009406
8,2232.3,1.23155,1.36982,1.53018,0.7003,0.45508,0.49055,0.30971,1.53163,3.46674,1.7179,0.009307,0.009307,0.009307
9,2554.7,1.22079,1.34132,1.52042,0.81055,0.41655,0.48734,0.30409,1.55593,2.9262,1.70592,0.009208,0.009208,0.009208
10,2867.34,1.18391,1.29435,1.49489,0.71694,0.4392,0.49883,0.31316,1.53907,3.03784,1.68513,0.009109,0.009109,0.009109
11,3187.05,1.18063,1.28196,1.49125,0.8014,0.44489,0.50487,0.32045,1.52437,2.62114,1.6748,0.00901,0.00901,0.00901
12,3484.12,1.16811,1.25544,1.48037,0.77312,0.4484,0.51256,0.32832,1.48338,2.42158,1.6351,0.008911,0.008911,0.008911
13,3779.75,1.15694,1.23843,1.4761,0.7766,0.4655,0.52427,0.33581,1.48561,2.9409,1.6362,0.008812,0.008812,0.008812
14,4099.54,1.15285,1.22534,1.46634,0.75328,0.44801,0.51135,0.32876,1.4812,3.1251,1.65263,0.008713,0.008713,0.008713
15,4426.5,1.14002,1.204,1.45671,0.81555,0.45129,0.52847,0.33962,1.4653,3.69887,1.61866,0.008614,0.008614,0.008614
16,4722.39,1.12921,1.1755,1.44605,0.7909,0.47242,0.53075,0.34357,1.45398,3.49722,1.6157,0.008515,0.008515,0.008515
17,4974.1,1.12046,1.16115,1.44561,0.77601,0.49516,0.5444,0.35184,1.42096,2.90213,1.58329,0.008416,0.008416,0.008416
18,5224.87,1.11761,1.15296,1.43416,0.72182,0.50123,0.5262,0.34963,1.41901,3.1187,1.58054,0.008317,0.008317,0.008317
19,5488.6,1.106,1.13165,1.42544,0.73966,0.49542,0.54005,0.36001,1.41594,2.96612,1.57972,0.008218,0.008218,0.008218
20,5757.88,1.09283,1.11412,1.41372,0.80416,0.4808,0.55147,0.36482,1.42829,2.90117,1.57907,0.008119,0.008119,0.008119
21,6021.46,1.08193,1.10498,1.41203,0.80015,0.49015,0.54811,0.36457,1.41523,2.53882,1.56516,0.00802,0.00802,0.00802
22,6275.26,1.09595,1.10005,1.4201,0.76487,0.48358,0.53901,0.36396,1.40674,2.63732,1.57676,0.007921,0.007921,0.007921
23,6528.02,1.07913,1.08739,1.41169,0.83366,0.47875,0.55356,0.37616,1.40469,3.11317,1.57242,0.007822,0.007822,0.007822
24,6778.37,1.08027,1.07712,1.40839,0.7891,0.49865,0.56052,0.37535,1.41973,2.81984,1.57157,0.007723,0.007723,0.007723
25,7029.16,1.07139,1.06695,1.4052,0.80521,0.48113,0.55036,0.36903,1.43191,3.50568,1.59231,0.007624,0.007624,0.007624
26,7280.25,1.07202,1.05602,1.39502,0.80622,0.51079,0.57663,0.38578,1.38093,2.76856,1.53368,0.007525,0.007525,0.007525
27,7530.76,1.05989,1.0504,1.39224,0.79833,0.51809,0.5773,0.39084,1.41514,2.50311,1.55337,0.007426,0.007426,0.007426
28,7780.99,1.06328,1.03934,1.39259,0.81679,0.50601,0.57429,0.38561,1.40089,2.67525,1.55881,0.007327,0.007327,0.007327
29,8032.05,1.04736,1.02382,1.38568,0.79174,0.50754,0.56747,0.38405,1.38034,2.83418,1.54016,0.007228,0.007228,0.007228
30,8282.39,1.04644,1.02568,1.38361,0.81427,0.51704,0.57591,0.38877,1.36933,2.65195,1.53888,0.007129,0.007129,0.007129
31,8533.93,1.05307,1.02628,1.37949,0.76997,0.5236,0.57946,0.3908,1.40158,2.58357,1.54759,0.00703,0.00703,0.00703
32,8785.1,1.04346,1.00991,1.37856,0.8103,0.51308,0.57948,0.39591,1.3808,2.76839,1.54192,0.006931,0.006931,0.006931
